Loan ID,Borrower Name,City,Annual Income,Education,Profession,Total Loan Approved Amount,Total Amount Drawn,Exposure at Default,Recovery,Costs of Recovery,Probability of Default ,Internal Bank Rating,LGD,EL
L217,Name 217,Chennai,774976,Ph.D,Doctor,55875,8876,41906.25,5587.5,55.875,39,B,5.89,961.88625
L218,Name 218,Chennai,250551,Post Graduate,Business in HealthCare,44976,4772,33732,4497.6,44.976,8,C,0.61,16.464
L219,Name 219,Chennai,423524,Graduate,Business in Textile,13804,1645,10353,1380.4,13.804,87,B,1.92,172.6515
L220,Name 220,Chennai,354099,Ph.D,Private,34883,9917,26162.25,3488.3,34.883,2,C,18.43,96.4305
L221,Name 221,Chennai,715846,Post Graduate,Government,70243,7607,52682.25,7024.3,70.243,29,B,0.83,126.73725
L222,Name 222,Chennai,153309,Graduate,Business in Auto Parts,44496,6084,33372,4449.6,44.496,40,C,3.67,490.32
L223,Name 223,Chennai,315131,Ph.D,FreeLancer,88670,8541,66502.5,8867,88.67,68,B,-0.37,-166.26
L224,Name 224,Chennai,938563,Post Graduate,Non Profit Organization,89916,4613,67437,8991.6,89.916,97,C,-4.87,-3185.4315
L225,Name 225,Chennai,610512,Graduate,Business in HealthCare,71151,7816,53363.25,7115.1,71.151,11,B,0.99,57.82425
L226,Name 226,Chennai,959731,Ph.D,Private,98091,4085,73568.25,9809.1,98.091,29,C,-5.84,-1244.99175
L227,Name 227,Chennai,669352,Post Graduate,Business in Education,97842,8937,73381.5,9784.2,97.842,66,B,-0.87,-419.364
L228,Name 228,Chennai,984186,Graduate,Government,49294,7820,36970.5,4929.4,49.294,66,C,5.86,1430.847
L229,Name 229,Chennai,852288,Ph.D,FreeLancer,76581,7167,57435.75,7658.1,76.581,29,B,-0.64,-106.81425
L230,Name 230,Chennai,501864,Post Graduate,Doctor,55821,9514,41865.75,5582.1,55.821,63,C,7.04,1857.82275
L231,Name 231,Chennai,583149,Graduate,Business in HealthCare,48483,6723,36362.25,4848.3,48.483,37,B,3.87,520.22925
L232,Name 232,Chennai,121956,Ph.D,Business in Textile,44845,4679,33633.75,4484.5,44.845,62,C,0.43,90.4425
L233,Name 233,Chennai,796567,Post Graduate,Private,52427,4520,39320.25,5242.7,52.427,93,B,-1.38,-504.08325
L234,Name 234,Chennai,335947,Graduate,Government,68623,2898,51467.25,6862.3,68.623,45,C,-5.78,-1337.95125
L235,Name 235,Chennai,196240,Ph.D,Business in Auto Parts,78631,8828,58973.25,7863.1,78.631,87,B,1.23,629.59725
L236,Name 236,Chennai,513924,Post Graduate,FreeLancer,56814,5122,42610.5,5681.4,56.814,70,C,-0.98,-293.685
L237,Name 237,Chennai,262074,Graduate,Non Profit Organization,53858,5614,40393.5,5385.8,53.858,50,B,0.42,85.575
L238,Name 238,Chennai,204985,Ph.D,Business in HealthCare,29811,8054,22358.25,2981.1,29.811,5,C,17.02,190.23375
L239,Name 239,Chennai,652598,Post Graduate,Private,22181,5182,16635.75,2218.1,22.181,99,B,13.36,2200.69575
L240,Name 240,Chennai,573042,Graduate,Business in Education,92128,8585,69096,9212.8,92.128,86,C,-0.68,-404.931
L241,Name 241,Chennai,182841,Ph.D,Government,69461,8736,52095.75,6946.1,69.461,2,B,2.58,26.8485
L242,Name 242,Chennai,643155,Post Graduate,FreeLancer,58282,1481,43711.5,5828.2,58.282,39,C,-7.46,-1271.556
L243,Name 243,Chennai,324638,Graduate,Doctor,53810,2732,40357.5,5381,53.81,93,B,-4.92,-1847.6775
L244,Name 244,Chennai,279997,Ph.D,Business in HealthCare,79871,5575,59903.25,7987.1,79.871,29,C,-3.02,-524.63175
L245,Name 245,Chennai,343727,Post Graduate,Business in Textile,52659,4505,39494.25,5265.9,52.659,51,B,-1.44,-291.04425
L246,Name 246,Chennai,826527,Graduate,Private,70033,5124,52524.75,7003.3,70.033,92,C,-2.68,-1296.717
L247,Name 247,Chennai,393262,Ph.D,Government,69974,7058,52480.5,6997.4,69.974,8,B,0.09,3.636
L248,Name 248,Chennai,808840,Post Graduate,Business in Auto Parts,24015,2834,18011.25,2401.5,24.015,22,C,1.80,71.3625
L249,Name 249,Chennai,496631,Graduate,FreeLancer,76658,7331,57493.5,7665.8,76.658,30,B,-0.44,-75.33
L250,Name 250,Chennai,858825,Ph.D,Non Profit Organization,53893,5762,40419.75,5389.3,53.893,69,C,0.69,192.87225
L251,Name 251,Chennai,109917,Post Graduate,Business in HealthCare,79356,1402,59517,7935.6,79.356,60,B,-8.23,-2940.12
L252,Name 252,Chennai,994166,Graduate,Private,97017,9756,72762.75,9701.7,97.017,61,C,0.06,24.84225
L253,Name 253,Chennai,203439,Ph.D,Business in Education,85624,6136,64218,8562.4,85.624,58,B,-2.83,-1055.484
L254,Name 254,Chennai,205459,Post Graduate,Government,86789,6681,65091.75,8678.9,86.789,57,C,-2.30,-854.10225
L255,Name 255,Chennai,684916,Graduate,FreeLancer,15169,7589,11376.75,1516.9,15.169,20,B,40.03,910.815
L256,Name 256,Chennai,483097,Ph.D,Doctor,67612,6352,50709,6761.2,67.612,8,C,-0.61,-24.552
L257,Name 257,Chennai,805998,Post Graduate,Business in HealthCare,91268,4060,68451,9126.8,91.268,86,B,-5.55,-3268.086
L258,Name 258,Chennai,187323,Graduate,Business in Textile,28747,7024,21560.25,2874.7,28.747,11,C,14.43,342.31725
L259,Name 259,Chennai,404613,Ph.D,Private,66874,1452,50155.5,6687.4,66.874,100,B,-7.83,-3926.55
L260,Name 260,Chennai,847361,Post Graduate,Government,67206,4395,50404.5,6720.6,67.206,40,C,-3.46,-697.68
L261,Name 261,Chennai,868796,Graduate,Business in Auto Parts,18081,3960,13560.75,1808.1,18.081,63,B,11.90,1016.77275
L262,Name 262,Chennai,869871,Ph.D,FreeLancer,51745,4519,38808.75,5174.5,51.745,56,C,-1.27,-275.31
L263,Name 263,Chennai,554394,Post Graduate,Non Profit Organization,52284,7954,39213,5228.4,52.284,72,B,5.21,1471.824
L264,Name 264,Chennai,824855,Graduate,Business in HealthCare,66171,2630,49628.25,6617.1,66.171,47,C,-6.03,-1405.45275
L265,Name 265,Chennai,375748,Ph.D,Private,20450,5697,15337.5,2045,20.45,65,B,17.86,1780.35
L266,Name 266,Chennai,867868,Post Graduate,Business in Education,10429,2992,7821.75,1042.9,10.429,43,C,18.69,628.58475
L267,Name 267,Chennai,564599,Graduate,Government,17067,8376,12800.25,1706.7,17.067,55,B,39.08,2751.08625
L268,Name 268,Chennai,234550,Ph.D,FreeLancer,86246,4817,64684.5,8624.6,86.246,33,C,-4.41,-942.381
L269,Name 269,Chennai,576419,Post Graduate,Doctor,71419,5039,53564.25,7141.9,71.419,56,B,-2.94,-883.218
L270,Name 270,Chennai,209668,Graduate,Business in HealthCare,36051,7327,27038.25,3605.1,36.051,84,C,10.32,2344.797
L271,Name 271,Chennai,676003,Ph.D,Business in Textile,84020,4084,63015,8402,84.02,11,B,-5.14,-356.235
L272,Name 272,Chennai,540252,Post Graduate,Private,41798,3978,31348.5,4179.8,41.798,61,C,-0.48,-92.3235
L273,Name 273,Chennai,911059,Graduate,Government,40894,3021,30670.5,4089.4,40.894,17,B,-2.61,-136.221
L274,Name 274,Chennai,989273,Ph.D,Business in Auto Parts,38191,2943,28643.25,3819.1,38.191,8,C,-2.29,-52.566
L275,Name 275,Chennai,825793,Post Graduate,FreeLancer,87295,9437,65471.25,8729.5,87.295,35,B,0.81,185.71875
L276,Name 276,Chennai,696347,Graduate,Non Profit Organization,20128,9485,15096,2012.8,20.128,40,C,37.12,2241.66
L277,Name 277,Chennai,601072,Ph.D,Business in HealthCare,73656,9806,55242,7365.6,73.656,65,B,3.31,1189.695
L278,Name 278,Chennai,281204,Post Graduate,Private,84579,7821,63434.25,8457.9,84.579,8,C,-0.75,-38.214
L279,Name 279,Chennai,946399,Graduate,Business in Education,50901,6467,38175.75,5090.1,50.901,93,B,2.71,960.38775
L280,Name 280,Chennai,123437,Ph.D,Government,85732,8991,64299,8573.2,85.732,92,C,0.49,288.282
L281,Name 281,Chennai,278332,Post Graduate,FreeLancer,22431,7147,16823.25,2243.1,22.431,27,B,21.86,993.03975
L282,Name 282,Chennai,856698,Graduate,Doctor,35806,1860,26854.5,3580.6,35.806,71,C,-4.81,-916.2195
L283,Name 283,Chennai,641638,Ph.D,Business in HealthCare,24382,7914,18286.5,2438.2,24.382,67,B,22.46,2751.5895
L284,Name 284,Chennai,634584,Post Graduate,Business in Textile,74468,5804,55851,7446.8,74.468,58,C,-2.21,-714.618
L285,Name 285,Chennai,792029,Graduate,Private,63946,6821,47959.5,6394.6,63.946,20,B,0.67,63.96
L286,Name 286,Chennai,735000,Ph.D,Government,78763,4586,59072.25,7876.3,78.763,31,C,-4.18,-764.99475
L287,Name 287,Chennai,836802,Post Graduate,Business in Auto Parts,37243,5450,27932.25,3724.3,37.243,98,B,4.63,1268.3895
L288,Name 288,Chennai,266855,Graduate,FreeLancer,25529,7626,19146.75,2552.9,25.529,81,C,19.87,3081.90825
L289,Name 289,Chennai,962587,Ph.D,Non Profit Organization,85016,3510,63762,8501.6,85.016,98,B,-5.87,-3668.826
L290,Name 290,Chennai,413545,Post Graduate,Business in HealthCare,10203,3660,7652.25,1020.3,10.203,41,C,25.87,811.70775
L291,Name 291,Chennai,397282,Graduate,Private,37377,8893,28032.75,3737.7,37.377,91,B,13.79,3518.49225
L292,Name 292,Chennai,232522,Ph.D,Business in Education,15618,7924,11713.5,1561.8,15.618,14,C,40.74,668.031
L293,Name 293,Chennai,189633,Post Graduate,Government,43259,4021,32444.25,4325.9,43.259,34,B,-0.70,-77.7495
L294,Name 294,Chennai,239637,Graduate,FreeLancer,31345,2154,23508.75,3134.5,31.345,9,C,-3.13,-66.18375
L295,Name 295,Chennai,586103,Ph.D,Doctor,42126,5983,31594.5,4212.6,42.126,21,B,4.20,278.838
L296,Name 296,Chennai,682665,Post Graduate,Business in HealthCare,73636,6918,55227,7363.6,73.636,6,C,-0.61,-20.052
L297,Name 297,Chennai,313452,Graduate,Business in Textile,65306,3290,48979.5,6530.6,65.306,99,B,-4.96,-2406.1455
L298,Name 298,Chennai,224379,Ph.D,Private,70381,9370,52785.75,7038.1,70.381,9,C,3.31,157.40325
L299,Name 299,Chennai,479123,Post Graduate,Government,30255,8104,22691.25,3025.5,30.255,99,B,16.79,3770.78625
L300,Name 300,Chennai,574559,Graduate,Business in Auto Parts,99392,2444,74544,9939.2,99.392,80,C,-7.54,-4497.12
L301,Name 301,Chennai,565840,Ph.D,FreeLancer,58762,3745,44071.5,5876.2,58.762,75,B,-3.63,-1198.8
L302,Name 302,Chennai,618974,Post Graduate,Non Profit Organization,30412,4776,22809,3041.2,30.412,37,C,5.70,481.407
L303,Name 303,Chennai,709862,Graduate,Business in HealthCare,88282,7487,66211.5,8828.2,88.282,59,B,-1.52,-593.481
L304,Name 304,Chennai,397933,Ph.D,Private,95846,4598,71884.5,9584.6,95.846,86,C,-5.20,-3216.357
L305,Name 305,Chennai,831642,Post Graduate,Business in Education,37384,3855,28038,3738.4,37.384,86,B,0.31,75.207
L306,Name 306,Chennai,807550,Graduate,Government,80638,6175,60478.5,8063.8,80.638,43,C,-2.34,-609.138
L307,Name 307,Chennai,280786,Ph.D,FreeLancer,17967,7294,13475.25,1796.7,17.967,45,B,30.60,1855.33875
L308,Name 308,Chennai,494559,Post Graduate,Doctor,75137,7696,56352.75,7513.7,75.137,60,C,0.24,82.035
L309,Name 309,Chennai,854900,Graduate,Business in HealthCare,63049,9732,47286.75,6304.9,63.049,88,B,5.44,2261.886
L310,Name 310,Chennai,859143,Ph.D,Business in Textile,32708,5347,24531,3270.8,32.708,63,C,6.35,981.0045
L311,Name 311,Chennai,324308,Post Graduate,Private,36408,6283,27306,3640.8,36.408,13,B,7.26,257.6145
L312,Name 312,Chennai,530506,Graduate,Government,58578,6299,43933.5,5857.8,58.578,28,C,0.75,92.652
L313,Name 313,Chennai,174589,Ph.D,Business in Auto Parts,23044,2368,17283,2304.4,23.044,58,B,0.28,27.666
L314,Name 314,Chennai,338685,Post Graduate,FreeLancer,80033,4325,60024.75,8003.3,80.033,98,C,-4.60,-2703.5505
L315,Name 315,Chennai,425410,Graduate,Non Profit Organization,93080,2355,69810,9308,93.08,52,B,-7.47,-2711.67
L316,Name 316,Chennai,904793,Ph.D,Business in HealthCare,20853,5947,15639.75,2085.3,20.853,33,C,18.52,955.77075
L317,Name 317,Chennai,379648,Post Graduate,Private,60371,5929,45278.25,6037.1,60.371,15,B,-0.18,-12.16125
L318,Name 318,Chennai,191628,Graduate,Business in Education,19367,8227,14525.25,1936.7,19.367,44,C,32.48,2075.799
L319,Name 319,Chennai,378860,Ph.D,Government,85141,6990,63855.75,8514.1,85.141,11,B,-1.79,-125.73825
L320,Name 320,Chennai,461810,Post Graduate,FreeLancer,10557,6413,7917.75,1055.7,10.557,5,C,50.75,200.89875
L321,Name 321,Chennai,520706,Graduate,Doctor,40831,9410,30623.25,4083.1,40.831,7,B,13.05,279.66225
L322,Name 322,Chennai,942139,Ph.D,Business in HealthCare,86807,2935,65105.25,8680.7,86.807,93,C,-6.62,-4007.62575
L323,Name 323,Chennai,672651,Post Graduate,Business in Textile,10971,9206,8228.25,1097.1,10.971,32,B,73.91,1946.136
L324,Name 324,Chennai,659978,Graduate,Private,61137,4890,45852.75,6113.7,61.137,73,C,-2.00,-669.97575
L325,Name 325,Chennai,461749,Ph.D,Government,39073,7833,29304.75,3907.3,39.073,92,B,10.05,2708.733
L326,Name 326,Chennai,637999,Post Graduate,Business in Auto Parts,63336,6900,47502,6333.6,63.336,74,C,0.89,314.352
L327,Name 327,Chennai,321359,Graduate,FreeLancer,96070,4628,72052.5,9607,96.07,33,B,-5.18,-1232.3025
L328,Name 328,Chennai,188342,Ph.D,Non Profit Organization,61434,7648,46075.5,6143.4,61.434,25,C,2.45,282.1125
L329,Name 329,Chennai,478198,Post Graduate,Business in HealthCare,96080,7316,72060,9608,96.08,75,B,-2.39,-1289.25
L330,Name 330,Chennai,890458,Graduate,Private,69291,3465,51968.25,6929.1,69.291,52,C,-5.00,-1350.999
L331,Name 331,Chennai,462676,Ph.D,Business in Education,27699,6604,20774.25,2769.9,27.699,81,B,13.84,2329.21575
L332,Name 332,Chennai,213395,Post Graduate,Government,44175,2451,33131.25,4417.5,44.175,86,C,-4.45,-1268.3925
L333,Name 333,Chennai,572566,Graduate,FreeLancer,58218,8478,43663.5,5821.8,58.218,57,B,4.56,1135.5255
L334,Name 334,Chennai,711681,Ph.D,Doctor,96854,1253,72640.5,9685.4,96.854,21,C,-8.71,-1328.103
L335,Name 335,Chennai,471650,Post Graduate,Business in HealthCare,63715,1635,47786.25,6371.5,63.715,68,B,-7.43,-2415.615
L336,Name 336,Chennai,814792,Graduate,Business in Textile,76377,2231,57282.75,7637.7,76.377,80,C,-7.08,-3244.02
L337,Name 337,Chennai,190609,Ph.D,Private,11555,3969,8666.25,1155.5,11.555,40,B,24.35,844.05
L338,Name 338,Chennai,131182,Post Graduate,Government,17790,8382,13342.5,1779,17.79,69,C,37.12,3417.0525
L339,Name 339,Chennai,142816,Graduate,Business in Auto Parts,61070,9950,45802.5,6107,61.07,85,B,6.29,2449.9125
L340,Name 340,Chennai,254026,Ph.D,FreeLancer,74746,6083,56059.5,7474.6,74.746,54,C,-1.86,-563.598
L341,Name 341,Chennai,566940,Post Graduate,Non Profit Organization,96945,7845,72708.75,9694.5,96.945,27,B,-1.91,-374.52375
L342,Name 342,Chennai,447594,Graduate,Business in HealthCare,26655,6209,19991.25,2665.5,26.655,99,C,13.29,2631.04875
L343,Name 343,Chennai,867086,Ph.D,Private,39120,9540,29340,3912,39.12,9,B,14.39,379.89
L344,Name 344,Chennai,706463,Post Graduate,Business in Education,13015,1826,9761.25,1301.5,13.015,83,C,4.03,326.50125
L345,Name 345,Chennai,273121,Graduate,Government,59430,8186,44572.5,5943,59.43,1,B,3.77,16.8225
L346,Name 346,Chennai,311563,Ph.D,FreeLancer,21624,1950,16218,2162.4,21.624,58,C,-0.98,-92.394
L347,Name 347,Chennai,973725,Post Graduate,Doctor,70920,8845,53190,7092,70.92,8,B,2.47,105.18
L348,Name 348,Chennai,293274,Graduate,Business in HealthCare,94914,9737,71185.5,9491.4,94.914,55,C,0.26,101.31
L349,Name 349,Chennai,500444,Ph.D,Business in Textile,65485,6170,49113.75,6548.5,65.485,54,B,-0.58,-153.2925
L350,Name 350,Chennai,693334,Post Graduate,Private,86957,7583,65217.75,8695.7,86.957,74,C,-1.28,-617.5485
L351,Name 351,Chennai,370081,Graduate,Government,76588,4313,57441,7658.8,76.588,93,B,-4.37,-2333.6955
L352,Name 352,Chennai,694875,Ph.D,Business in Auto Parts,36083,3357,27062.25,3608.3,36.083,51,C,-0.70,-96.12225
L353,Name 353,Chennai,418692,Post Graduate,FreeLancer,27615,5091,20711.25,2761.5,27.615,47,B,8.44,821.14875
L354,Name 354,Chennai,282081,Graduate,Non Profit Organization,89984,4532,67488,8998.4,89.984,17,C,-4.96,-569.466
L355,Name 355,Chennai,376247,Ph.D,Business in HealthCare,36805,8109,27603.75,3680.5,36.805,10,B,12.03,332.1375
L356,Name 356,Chennai,407235,Post Graduate,Private,94815,9710,71111.25,9481.5,94.815,23,C,0.24,39.41625
L357,Name 357,Chennai,787082,Graduate,Business in Education,93815,4062,70361.25,9381.5,93.815,49,B,-5.67,-1954.91625
L358,Name 358,Chennai,291498,Ph.D,Government,52976,8822,39732,5297.6,52.976,86,C,6.65,2273.238
L359,Name 359,Chennai,696035,Post Graduate,FreeLancer,71919,3017,53939.25,7191.9,71.919,24,B,-5.81,-751.482
L360,Name 360,Chennai,699406,Graduate,Doctor,70645,5698,52983.75,7064.5,70.645,37,C,-1.93,-379.20375
L361,Name 361,Chennai,575888,Ph.D,Business in HealthCare,98996,2193,74247,9899.6,98.996,69,B,-7.78,-3988.1655
L362,Name 362,Chennai,598152,Post Graduate,Business in Textile,16359,8634,12269.25,1635.9,16.359,54,C,42.78,2834.2305
L363,Name 363,Chennai,969037,Graduate,Private,44235,9266,33176.25,4423.5,44.235,69,B,10.95,2505.99375
L364,Name 364,Chennai,838300,Ph.D,Government,38306,7080,28729.5,3830.6,38.306,25,C,8.48,609.2625
L365,Name 365,Chennai,149679,Post Graduate,Business in Auto Parts,66881,2477,50160.75,6688.1,66.881,68,B,-6.30,-2147.661
L366,Name 366,Chennai,783832,Graduate,FreeLancer,50164,7682,37623,5016.4,50.164,75,C,5.31,1499.4
L367,Name 367,Chennai,580643,Ph.D,Non Profit Organization,82934,7246,62200.5,8293.4,82.934,32,B,-1.26,-251.376
L368,Name 368,Chennai,487586,Post Graduate,Business in HealthCare,75748,3023,56811,7574.8,75.748,71,C,-6.01,-2423.8335
L369,Name 369,Chennai,677081,Graduate,Private,26710,2091,20032.5,2671,26.71,75,B,-2.17,-326.25
L370,Name 370,Chennai,143494,Ph.D,Business in Education,16647,7426,12485.25,1664.7,16.647,99,C,34.61,4277.76525
L371,Name 371,Chennai,748031,Post Graduate,Government,13351,1711,10013.25,1335.1,13.351,50,B,2.82,140.9625
L372,Name 372,Chennai,979987,Graduate,FreeLancer,37388,1584,28041,3738.8,37.388,25,C,-5.76,-404.025
L373,Name 373,Chennai,242843,Ph.D,Doctor,84976,3227,63732,8497.6,84.976,47,B,-6.20,-1857.8865
L374,Name 374,Chennai,493038,Post Graduate,Business in HealthCare,10349,4301,7761.75,1034.9,10.349,3,C,31.56,73.48725
L375,Name 375,Chennai,479023,Graduate,Business in Textile,14902,2702,11176.5,1490.2,14.902,20,B,8.13,181.77
L376,Name 376,Chennai,778653,Ph.D,Private,30834,5773,23125.5,3083.4,30.834,27,C,8.72,544.644
L377,Name 377,Chennai,731702,Post Graduate,Government,89650,9256,67237.5,8965,89.65,16,B,0.32,34.92
L378,Name 378,Chennai,953167,Graduate,Business in Auto Parts,31647,2684,23735.25,3164.7,31.647,3,C,-1.52,-10.81575
L379,Name 379,Chennai,696793,Ph.D,FreeLancer,34577,1319,25932.75,3457.7,34.577,52,B,-6.19,-834.093
L380,Name 380,Chennai,859842,Post Graduate,Non Profit Organization,79660,5947,59745,7966,79.66,94,C,-2.53,-1423.395
L381,Name 381,Chennai,425196,Graduate,Business in HealthCare,27895,8631,20921.25,2789.5,27.895,14,B,20.94,613.3575
L382,Name 382,Chennai,839630,Ph.D,Private,40376,6996,30282,4037.6,40.376,51,C,7.33,1131.588
L383,Name 383,Chennai,967722,Post Graduate,Business in Education,14971,3654,11228.25,1497.1,14.971,88,B,14.41,1423.554
L384,Name 384,Chennai,934215,Graduate,Government,68729,1491,51546.75,6872.9,68.729,59,C,-7.83,-2381.49075
L385,Name 385,Chennai,694304,Ph.D,FreeLancer,38367,5383,28775.25,3836.7,38.367,63,B,4.03,730.62675
L386,Name 386,Chennai,442243,Post Graduate,Doctor,75864,1014,56898,7586.4,75.864,88,C,-8.66,-4337.784
L387,Name 387,Chennai,180301,Graduate,Business in HealthCare,23848,9271,17886,2384.8,23.848,62,B,28.88,3202.083
L388,Name 388,Chennai,940384,Ph.D,Business in Textile,78220,3524,58665,7822,78.22,90,C,-5.49,-2901.15
L389,Name 389,Chennai,318078,Post Graduate,Private,32584,4758,24438,3258.4,32.584,54,B,4.60,607.338
L390,Name 390,Chennai,935964,Graduate,Government,99648,7135,74736,9964.8,99.648,73,C,-2.84,-1549.3155
L391,Name 391,Chennai,258681,Ph.D,Business in Auto Parts,69326,5738,51994.5,6932.6,69.326,45,B,-1.72,-403.1775
L392,Name 392,Chennai,420360,Post Graduate,FreeLancer,63870,9300,47902.5,6387,63.87,100,C,4.56,2184.75
L393,Name 393,Chennai,841553,Graduate,Non Profit Organization,50041,9759,37530.75,5004.1,50.041,56,B,9.50,1997.058
L394,Name 394,Chennai,421455,Ph.D,Business in HealthCare,39878,3777,29908.5,3987.8,39.878,19,C,-0.53,-30.039
L395,Name 395,Chennai,383649,Post Graduate,Private,31299,7295,23474.25,3129.9,31.299,45,B,13.31,1405.72125
L396,Name 396,Chennai,882296,Graduate,Business in Education,23721,1254,17790.75,2372.1,23.721,74,C,-4.71,-620.5455
L397,Name 397,Chennai,141974,Ph.D,Government,25896,4650,19422,2589.6,25.896,15,B,7.96,231.795
L398,Name 398,Chennai,345185,Post Graduate,FreeLancer,93133,7897,69849.75,9313.3,93.133,73,C,-1.52,-775.42425
L399,Name 399,Chennai,984347,Graduate,Doctor,94549,3919,70911.75,9454.9,94.549,96,B,-5.86,-3985.848
L400,Name 400,Chennai,830766,Ph.D,Business in HealthCare,74689,8964,56016.75,7468.9,74.689,86,C,2.00,964.3395
L401,Name 401,Kolkata,272211,Post Graduate,Non Profit Organization,39002,6919,29251.5,3900.2,39.002,91,CCC,7.74,2060.331
L402,Name 402,Kolkata,351156,Graduate,Business in HealthCare,86419,8407,64814.25,8641.9,86.419,45,CC,-0.27,-79.27875
L403,Name 403,Kolkata,179164,Ph.D,Business in Textile,14564,7838,10923,1456.4,14.564,13,CCC,43.82,622.206
L404,Name 404,Kolkata,861253,Post Graduate,Private,86941,2029,65205.75,8694.1,86.941,88,CC,-7.67,-4398.966
L405,Name 405,Kolkata,755927,Graduate,Business in Education,41514,8361,31135.5,4151.4,41.514,98,CCC,10.14,3094.056
L406,Name 406,Kolkata,531902,Ph.D,Government,67216,9261,50412,6721.6,67.216,89,CC,3.78,1695.0495
L407,Name 407,Kolkata,127435,Post Graduate,Business in Auto Parts,47143,1308,35357.25,4714.3,47.143,77,CCC,-7.23,-1967.13825
L408,Name 408,Kolkata,755567,Graduate,FreeLancer,47025,9944,35268.75,4702.5,47.025,100,CC,11.15,3931.125
L409,Name 409,Kolkata,410809,Ph.D,Doctor,81229,1804,60921.75,8122.9,81.229,17,CCC,-7.78,-805.65975
L410,Name 410,Kolkata,545075,Post Graduate,Business in HealthCare,98983,1418,74237.25,9898.3,98.983,88,CC,-8.57,-5596.998
L411,Name 411,Kolkata,887560,Graduate,Business in Textile,10471,5911,7853.25,1047.1,10.471,17,CCC,46.45,620.14725
L412,Name 412,Kolkata,582194,Ph.D,Private,92949,5772,69711.75,9294.9,92.949,64,CC,-3.79,-1690.992
L413,Name 413,Kolkata,899717,Post Graduate,Government,72705,9023,54528.75,7270.5,72.705,70,CCC,2.41,920.0625
L414,Name 414,Kolkata,630782,Graduate,Business in Auto Parts,54533,3816,40899.75,5453.3,54.533,8,CC,-3.00,-98.238
L415,Name 415,Kolkata,851324,Ph.D,FreeLancer,10863,1847,8147.25,1086.3,10.863,93,CCC,7.00,530.58825
L416,Name 416,Kolkata,454665,Post Graduate,Non Profit Organization,28857,1496,21642.75,2885.7,28.857,60,CC,-4.82,-625.365
L417,Name 417,Kolkata,928238,Graduate,Business in HealthCare,95025,1428,71268.75,9502.5,95.025,62,CCC,-8.50,-3754.6425
L418,Name 418,Kolkata,761884,Ph.D,Private,63866,8833,47899.5,6386.6,63.866,24,CC,3.83,440.352
L419,Name 419,Kolkata,728620,Post Graduate,Business in Education,89063,5000,66797.25,8906.3,89.063,25,CCC,-4.39,-732.43125
L420,Name 420,Kolkata,965958,Graduate,Government,21243,3810,15932.25,2124.3,21.243,13,CC,7.94,164.35575
L421,Name 421,Kolkata,168840,Ph.D,FreeLancer,90911,2435,68183.25,9091.1,90.911,89,CCC,-7.32,-4442.94675
L422,Name 422,Kolkata,837534,Post Graduate,Doctor,34754,9963,26065.5,3475.4,34.754,81,CC,18.67,3941.217
L423,Name 423,Kolkata,484660,Graduate,Business in HealthCare,85548,3360,64161,8554.8,85.548,46,CCC,-6.07,-1792.206
L424,Name 424,Kolkata,617268,Ph.D,Business in Textile,20284,1097,15213,2028.4,20.284,21,CC,-4.59,-146.6955
L425,Name 425,Kolkata,102870,Post Graduate,Private,23308,5422,17481,2330.8,23.308,78,CCC,13.26,1808.352
L426,Name 426,Kolkata,894933,Graduate,Government,60118,8168,45088.5,6011.8,60.118,34,CC,3.59,549.831
L427,Name 427,Kolkata,613453,Ph.D,Business in Auto Parts,93297,7175,69972.75,9329.7,93.297,68,CCC,-2.31,-1098.897
L428,Name 428,Kolkata,943684,Post Graduate,FreeLancer,86179,9468,64634.25,8617.9,86.179,11,CC,0.99,70.13325
L429,Name 429,Kolkata,643919,Graduate,Non Profit Organization,69084,8266,51813,6908.4,69.084,79,CCC,1.97,804.378
L430,Name 430,Kolkata,271517,Ph.D,Business in HealthCare,77468,7359,58101,7746.8,77.468,95,CC,-0.50,-276.3075
L431,Name 431,Kolkata,312093,Post Graduate,Private,57372,1484,43029,5737.2,57.372,5,CCC,-7.41,-159.495
L432,Name 432,Kolkata,178515,Graduate,Business in Education,10490,5642,7867.5,1049,10.49,47,CC,43.78,1619.0325
L433,Name 433,Kolkata,801092,Ph.D,Government,45164,2530,33873,4516.4,45.164,59,CCC,-4.40,-878.982
L434,Name 434,Kolkata,364060,Post Graduate,FreeLancer,34013,8672,25509.75,3401.3,34.013,60,CC,15.50,2371.815
L435,Name 435,Kolkata,302621,Graduate,Doctor,24564,9135,18423,2456.4,24.564,78,CCC,27.19,3906.981
L436,Name 436,Kolkata,503903,Ph.D,Business in HealthCare,71631,2261,53723.25,7163.1,71.631,60,CC,-6.84,-2205.945
L437,Name 437,Kolkata,602457,Post Graduate,Business in Textile,82559,4261,61919.25,8255.9,82.559,32,CCC,-4.84,-958.776
L438,Name 438,Kolkata,485496,Graduate,Private,71154,2849,53365.5,7115.4,71.154,25,CC,-6.00,-799.95
L439,Name 439,Kolkata,146601,Ph.D,Government,95448,4829,71586,9544.8,95.448,24,CCC,-4.94,-848.844
L440,Name 440,Kolkata,925100,Post Graduate,Business in Auto Parts,95545,9640,71658.75,9554.5,95.545,82,CC,0.09,52.5825
